,,AMB/92,,,
42030153,Exerese de Cisto Sebaceo,,150,0,0
42030161,Exerese de Lipoma,,150,0,0
42030170,Exerese de Unha,,100,0,0
42030188,Fulguracao Telangiectasias/Der. Papulosa-Ate 15,,100,0,0
42030196,Incisao +Drenagem de Abcesso/Flegmao/Hematoma,,100,0,0
42030200,Retirada de Corpo Estranho Sub-Cutaneo,,100,0,0
42030218,"Retirada de Lesao Por ""Shaving""",,70,0,0
42030226,Tratamento de Miiase Furunculoide,,100,0,0
42030234,Exerese De Lesao+Enxertia,,500,0,2
43010016,"Cardio/Esofagoplastia,Megaesofago,Via Abdominal",,"1,200",2,4
43010024,"Cardio/Esofagoplastia,Megaesofago,Via Toracica",,"1,200",2,5
43010032,Diverticulectomia Cervical,,700,1,3
43010040,Diverticulectomia Toracica,,"1,200",2,5
43010059,Derivacao Esofagica Sem Toracotomia,,"1,300",2,5
43010067,Derivacao Esofagica Com Toracotomia,,"1,500",2,5
43010075,Esofagectomia Sem Toracotomia,,"2,000",2,6
43010083,Esofagectomia Com Toracotomia,,"2,000",2,6
43010091,Esofagostomia,,700,1,2
43010105,Esofagorrafia Cervical,,800,2,3
43010113,Esofagorrafia Toracica,,"1,200",2,5
43010121,Resseccao do Esofago Cervical Com Esvaziamento,,"1,500",2,5
43010130,Resseccao Esofago Cervical C/Esvaz. Bilateral,,"2,000",2,5
43010148,Resseccao Esofago Cerv.+FaringoLaringoEsofagec.,,"3,000",3,6
43010156,Resseccao Esofago Cervical/Toracico +Microcirur,,"3,200",3,6
43010172,Tratamento Cirurgico das Varizes Esofagicas,,"1,500",3,5
43010180,Tunelizacao Esofagica,,"1,000",2,3
43010199,Esofagoplastia Por Transplante+Microcirurgia,,"2,500",2,7
43010202,PH-Metria-Monitorizacao Do Ph Esofagico,,700,0,0
43020011,Conversao de Anastomatose Gastrojejunal,,"1,400",2,4
43020020,Degastrogastrectomia,,"1,600",2,4
43020038,Fechamento de Gastrostomia,,600,1,3
43020046,Gastrorrafia,,600,1,3
43020054,Gastrotomia Para Qualquer Finalidade,,600,1,3
43020062,Gastrostomia,,600,1,3
43020070,Gastrectomia Parcial Sem Vagotomia,,"1,300",2,4
43020089,Gastrectomia Parcial Com Vagotomia,,"1,300",2,4
43020097,Gastrectomia Parcial Com Linfadenectomia,,"1,700",2,4
43020100,Gastrectomia Total Via Abdominal,,"2,000",3,5
43020119,Gastrectomia Total Via Toraco-Abdominal,,"2,500",3,6
43020127,Gastrectomia Com Esplenectomia Pancreatectomia,,"3,000",3,6
43020135,Gastroenteroanastomose,,"1,200",2,3
43020151,Vagotomia Com Operacao de Drenagem,,"1,200",2,3
43020160,Vagotomia Superseletiva,,"1,200",2,4
43020178,Tratamento Cirurgico Das Varizes Gastricas,,"1,200",2,5
43030025,Apendicectomia,,800,1,3
43030033,Amputacao Abdomino-Perineal do Reto (Completa),,"3,000",2,5
43030041,Amputacao do Reto Por Procidencia,,"1,200",2,2
43030050,Colectomia Parcial Com Ou Sem Colostomia,,"1,500",2,4
43030068,Colectomia Total,,"1,500",2,5
43030076,Colectomia Total Com Ileo-Reto Anastomose,,"2,500",2,5
43030084,Colostomias,,800,1,3
43030092,Distorcao de Volvo Por Laparatomia,,800,1,3
43030106,Distorsao de Volvo Por Via Endoscopica,,300,0,0
43030114,Enterotomia E/Ou Enterorrafia Qualquer Segmento,,800,2,3
43030122,Entero-Anastomose - (Qualquer Segmento),,800,2,3
43030130,Enteropexia - (Qualquer Segmento),,800,2,3
43030149,Esvaziamento Pelvico Anterior Ou Posterior,,"2,000",3,4
43030157,Esvaziamento Pelvico Total,,"2,500",3,6
43030165,Fechamento de Enterostomia (Qualquer Segmento),,550,1,3
43030173,Fecaloma-Remocao Manual,,250,0,0
43030181,Ileostomia,,800,1,3
43030190,Ileostomia Continente (Qualquer Tecnica),,"1,300",2,3
43030203,Invaginacao Intestinal S/Ressecao - Cirurgia da,,800,1,3
43030211,Jejunostomia,,800,1,3
43030220,Proctocolectomia Total,,"2,500",2,5
43030238,Procidencia do Reto - Reducao Manual,,150,0,0
43030246,Resseccao de Intestino Delgado,,"1,000",2,4
43030254,Retossigmoidectomia Abdominal,,"1,800",2,4
43030270,Sacropromontofixacao do Reto,,"1,200",1,3
43030289,Tumor Ano-Retal - Excisao Local,,300,1,1
43030297,Colotomia E Colorrafia,,800,1,4
43030300,Cirurgia De Abaixamento(Qualquer Tecnica),,"2,500",3,6
43030319,Cirurgia De Acesso Posterior,,"1,500",2,6
43030327,Proctocolectomia Total C/ Reservatorio Ileal,,"3,000",3,6
43040012,Abcesso Ano-Retal - Drenagem,,250,0,0
43040039,Cerclagem Anal,,250,0,0
43040047,Corpo Estranho do Reto - Retirada,,150,0,0
43040055,Dilatacao Digital Ou Instrumental do Anus/Reto,,100,0,0
43040063,Estenose Anal - Tratamento Cirurgico,,400,1,1
43040071,Esfincteroplastia Anal (Qualquer Tecnica),,600,1,1
43040080,Fistula-Reto-Vaginal /Fistula Anal Em Ferradura,,600,1,1
43040098,Fissurectomia,,400,1,1
43040101,Fistulectomia Anal Em Um Tempo,,600,1,1
43040110,Fistulectomia Anal Em Dois Tempos,,800,1,1
43040128,Hemorroidas - Ligadura Elastica (Por Sessao),,100,0,0
43040136,Hemorroidas -Tratamento Esclerosante P/ Sessao,,100,0,0
43040144,Hemorroidectomia Aberta Ou Fechada,,600,1,3
43040152,Laceracao Ano-Retal - Cirurgia Via Perineal,,600,1,2
43040160,Lesao Anal - Eletrocauterizacao,,200,0,0
43040179,Prurido Anal - Tratamento Cirurgico,,250,1,1
43040187,Reconstituicao de Esfincter Anal Por Plastica,,"1,500",2,5
43040195,Trombose Hemorroidaria - Exerese,,150,0,0
43040209,Polipectomia Colo-Retal Via Endo-Anal,,480,1,1
43040217,Retossigmoidoscopia,,150,0,0
43040225,Retossigmoidoscopia Com Biopsia,,200,0,0
43050018,Abscesso Ou Cisto Hepatico - Drenagem Interna,,"1,000",1,3
43050026,Abscesso Ou Cisto Hepatico - Drenagem Externa,,750,1,3
43050034,Biopsia Hepatica Transparietal,,250,0,0
43050042,Cateterismo Arterial Para Quimioterapia,,700,2,3
43050050,Desvascularizacao Hepatica,,"1,000",2,3
43050069,Drenagem Biliar Trans-Hepatica,,"1,300",2,3
43050077,Hepatorrafia,,"1,000",1,4
43050085,Lobectomia Hepatica Esquerda,,"2,200",3,6
43050093,Enucleacao de Metastases Hepaticas,,"1,000",2,4
43050107,Segmentectomias Hepaticas,,"1,800",3,5
43050115,Trisegmentectomias,,"3,000",3,6
43050131,Colecistostomia,,600,1,3
43050140,Coledoco Ou Hepatico-Jejunostomia,,"1,500",3,5
43050158,Coledoco-Duodenostomia,,"1,300",2,4
43050166,Coledocotomia Com Ou Sem Colecistectomia,,"1,200",2,4
43050174,Colecistectomia Com Fistula Bilio-Digestiva,,"1,400",2,5
43050182,Colecistectomia Sem Colangiografia,,"1,000",2,4
43050190,Colecistectomia Com Colangiografia,,"1,200",2,5
43050204,Procedimento Sobre A Papila (Qualquer Tecnica),,"1,300",2,4
43050212,Hepatorrafia Complexa C/Lesao Vascular Biliar,,"1,700",2,6
43050220,Colecistojejunostomia,,"1,100",2,5
43050239,Coledoscopia Intra-Operatoria,,240,0,4
43050247,Transplante De Figado,,"3,500",3,7
43050255,Resseccao De Tumor Sem Hepatectomia,,"2,500",3,5
43050263,Resseccao De Tumor Com Hepatectomia,,"3,000",3,6
43050271,Resseccao De Cisto De Coledoco,,"1,800",2,5
43050280,Sequestrectomia Hepatica,,"1,000",2,6
43050298,Anastomose Biliodigestiva Intra-Hepatica,,"3,000",3,6
43050301,Cirurgia De Estenose Cicatricial Vias Biliares,,"3,000",3,6
43050310,Lobectomia Hepatica Direita,,"2,200",3,5
43050328,Resseccao De Cisto Hepatico,,"1,300",2,5
43060013,Cistos Pancreaticos - Tratamento Cirurgico,,"1,300",2,3
43060021,Pancreato-Duodenectomia,,"3,000",3,6
43060030,Pancreato-Enterostomia,,"1,500",3,3
43060048,Pancreatotomia Para Drenagem,,"1,000",2,3
43060056,Pancreatectomia Parcial,,"1,500",2,4
43060064,Pancreatorrafia,,"1,200",2,3
43060072,Transplante De Pancreas,,"3,500",3,7
43070019,Biopsia Esplenica Transparietal,,250,0,0
43070027,Esplenorrafia,,"1,000",2,3
43070035,Esplenectomia Total Ou Parcial,,"1,500",2,3
43080014,Biopsia de Parede Abdominal,,120,0,0
43080022,Cisto-Sacro - Tratamento Cirurgico,,550,1,1
43080030,Diastase dos Retos Abdominais -Trat. Cirurgico,,600,1,2
43080049,Herniorrafia Com Resseccao Intestinal,,"1,200",1,4
43080057,Herniorrafia Sem Resseccao Intestinal,,800,1,3
43080065,Herniorrafia Crural - Unilateral,,700,1,2
43080073,Herniorrafia Crural - Bilateral,,"1,000",1,3
43080081,Herniorrafia Diafragmatica - Por Via Toracica,,"1,400",2,4
43080090,Herniorrafia Diafragmatica - Por Via Abdominal,,"1,200",2,3
43080103,Herniorrafia Epigastrica,,700,1,2
43080111,Herniorrafia Incisional,,700,1,3
43080120,Herniorrafia Inguinal - Unilateral,,800,1,2
43080138,Herniorrafia Inguinal - Bilateral,,"1,000",1,3
43080146,Herniorrafia Lombar,,800,1,3
43080154,Herniorrafia Recidivante,,"1,000",1,3
43080162,Herniorrafia Umbilical,,650,1,2
43080170,Laparatomia Exploradora Com Ou Sem Biopsia,,800,2,3
43080189,Laparatomia Para Drenagem de Abscessos,,"1,000",2,3
43080197,Laparatomia P/Liberacao Bridas Em Vig. Oclusao,,"1,000",1,3
43080200,Paracentese Abdominal,,150,0,0
43080227,Ressutura da Parede Abdominal (Por Deiscencia),,800,1,3
43080235,Reparacao de Outras Hernias,,800,1,2
43080243,Resseccao de Cisto Ou Fistula de Uraco,,600,1,2
43080251,Ressec.Cisto/Fistula/Restos Ducto Onfalomesent.,,600,1,2
44010010,Biopsia da Paratireoide,,400,1,1
44010028,Adenoma de Paratireoide - Resseccao,,800,2,3
44010036,Paratireoidectomia Subtotal,,900,2,4
44010044,Paratireoidectomia Com Esternotomia,,"1,300",3,5
44010052,Paratireoidectomia C/Esvaziamento Unilateral,,"1,200",3,5
44010060,Paratireoidectomia C/ Esvaziamento Bilateral,,"1,450",3,6
44020015,Suprarrenalectomia Unilateral,,"1,000",3,5
44020023,Suprarrenalectomia Bilateral,,"1,300",3,6
44030010,Biopsia do Timo,,300,1,2
44030029,Timectomia,,800,2,5
44040016,Biopsia da Tireoide,,200,1,1
44040032,Tireoidectomia Parcial e Unilateral,,550,2,3
44040040,Tireoidectomia Parcial Bilateral,,800,3,4
44040059,Tireoidectomia Total,,900,3,5
44040067,Tireoidectomia Total C/ Esvaziamento Unilateral,,"1,100",3,5
44040075,Tireoidectomia Total Com Esvaziamento Bilateral,,"1,450",3,6
45010013,Amniocentese,,100,0,0
45010021,Colposcopia,,60,0,0
45010030,Exame A Fresco do Conteudo Vaginal e Cervical,,20,0,0
45010048,Laparoscopia,,300,1,2
45010056,Persuflacao Tubaria Diagnostica (Incluindo Gas),,50,0,0
45010064,Teste de Huhmer,,50,0,0
45010072,Tococardiografia Ante-Parto,,100,0,0
45010080,Tococardiografia AnteParto C/Estimulo Ocitocico,,150,0,0
45010099,Tococardiografia Intra-Parto,,150,0,0
45010102,Dopplerfluxometria,,300,0,0
45010110,Perfil Biofisico do Feto,,200,0,0
45010129,Amniocentese Sob Controle de Ultra Sonografia,,150,0,0
45010137,Histeroscopia Diagnostica,,240,0,0
45020019,Criocauterizacao de Colo de Utero,,100,0,0
45020027,Eletrocoagulacao de Colo de Utero,,100,0,0
45020035,"Hidrotubacao, Tratamento Completo (Inc.Medic.)",,50,0,0
45020043,Persuflacao Tubaria Tratamento Completo (C/Gaz),,50,0,0
45020051,Histeroscopia Cirurgica P/Biopsia Dirigida,,430,0,3
45020060,Histeroscopia Cirurgica C/Ressectoscopio,,600,0,4
45020078,Laparoscopia P/Lise Aderencia/Biopsia/Cauteriz.,,700,1,4
45020086,Laparoscopia P/Miomec./Salpingec./Ooforectomia,,850,1,4
45030014,Bartolinectomia,,200,1,1
45030022,Biopsia da Vulva,,100,0,0
45030049,Clitoridectomia,,250,1,1
45030057,Exerese de Glandula de Skene,,150,1,1
45030065,Episioperineorrafia (Nao Obstetrica),,200,0,1
45030073,Extirpacao de Lesao da Vulva e do Perineo,,150,0,0
45030081,Himenotomia,,150,1,1
45030090,Incisao + Drenagem Glandula de Bartholin/Skine,,120,1,0
45030103,Marsupializacao da Glandula de Bartholin,,150,1,1
45030111,Plastica de Pequenos/Grandes Labios,,150,1,1
45030138,Ruptura Perineal de III Grau Correcao Cirurgica,,700,2,2
45030146,Vulvectomia Ampliada Com Linfadenectomia,,"1,450",2,4
45030154,Vulvectomia Simples,,800,2,3
45040010,Biopsia de Vagina,,120,0,0
45040028,Colpectomia,,800,2,3
45040036,Colpocleise,,400,2,2
45040044,Colpoplastia Anterior,,400,2,2
45040052,Colpoplastia Posterior,,400,2,2
45040087,Colpotomia,,250,2,1
45040095,Construcao de Vagina,,"1,300",2,5
45040109,Culdoscopia,,250,0,2
45040117,Colporrafia Ou Colpoperineorrafia,,400,2,2
45040125,Exerese de Cisto Vaginal,,150,1,1
45040133,Extracao de Corpo Estranho da Vagina,,150,1,1
45040141,Cirurgia Do Prolapso De Cupula Vaginal,,800,2,3
45040150,Fistula Ginecologica - Correcao Cirurgica,,"1,100",2,4
45040184,Incontinencia Urinaria Cirurgia,,950,2,4
45040206,Cirurgia Da Incont.Urinaria C/Retocistocele,,"1,100",2,5
45050015,Biopsia do Colo Uterino,,120,0,0
45050023,Biopsia de Endometrio,,120,0,0
45050031,Curetagem Semiotica Com Ou Sem Dilatacao Colo,,200,0,1
45050040,Dilatacao do Colo Uterino,,150,0,1
45050058,Excisao de Polipo Uterino,,200,0,1
45050066,Histerectomia Total Ampliada (Wertheim - Meigs),,"1,750",3,5
45050074,Histerectomia Total,,"1,000",2,4
45050082,Histerectomia Subtotal,,700,2,3
45050090,Histerectomia Vaginal,,"1,200",2,4
45050104,Histeropexia (Qualquer Via e Tecnica),,550,1,3
45050112,Histerectomia C/Anexetomia Uni Ou Bilateral,,"1,300",2,4
45050155,Traqueloplastia,,300,2,2
45050163,"Traquelectomia (Amputacao, Conizacao)",,400,2,2
45060010,Recanal.Tubaria Uni/Bilateral C/Lupa/Microscop.,,"1,100",1,4
45060029,Salpingectomia Uni Ou Bilateral,,700,1,3
45060037,Recanal.Tubaria Uni/Bilat. S/Lupa/Microscopio,,950,1,4
45070016,Ooforectomia Uni Ou Bilateral,,700,1,3
45080011,Cerclagem do Colo Uterino,,350,1,2
45080038,Cesariana Com Histerectomia,,"1,300",2,4
45080046,Curetagem Pos Aborto,,350,0,2
45080054,Deslocamento Manual de Placenta,,200,0,2
45080062,Histerectomia Puerperal,,"1,000",2,4
45080070,Inversao Uterina Aguda Pos-Parto Reducao Manual,,250,0,3
45080089,Inversao Uterina Aguda Pos-Parto - Cirurgia,,700,2,3
45080100,Parto Gemelar (Cada Um Subsequente Ao Parto),,250,0,3
45080160,Prenhez Ectopica - Cirurgia da,,"1,000",2,3
45080178,Sutura de Laceracoes de Trajeto Pelvico,,200,1,1
45080186,Parto Via Baixa,,"1,000",0,5
45080194,Cesariana,,800,1,5
45090017,Abscesso de Mama - Incisao e Drenagem,,150,0,1
45090025,Biopsia de Mama,,100,0,1
45090033,Extirpacao de Mama Supranumeraria,,250,1,1
45090041,Extirpacao do Mamilo,,150,1,1
45090050,Extirpacao de Tumor Ou Adenomade Mama,,250,1,1
45090068,Mastectomia Simples,,550,1,3
45090076,Mastectomia Com Linfadenectomia,,950,2,5
45090084,Mastectomia Ultra Radical,,"1,300",2,5
45090092,Puncao Biopsia de Mama,,80,0,0
45090106,Resseccao de Setor Mamario,,250,1,1
45090114,Resseccao de Setor Mamario Com Esvaziamento,,"1,300",2,4
45090122,Puncao-Biopsia da Mama Sob Controle de Ultrasom,,150,0,0
46010017,Transplantes Cutaneos de Antebraco,,"1,600",3,6
46010025,Transplantes Cutaneos Axilares,,"2,000",3,6
46010033,Transplante Cutaneo Abdominal/Hipogastrico,,"2,000",3,6
46010041,Transplantes Cutaneos de Couro Cabeludo,,"1,600",3,6
46010050,Transplantes Cutaneos Deltopeitorais,,"2,000",3,6
46010068,Transplantes Cutaneos Digitais,,"1,300",3,5
46010076,Transplante Cutaneo Dorsal do Pe,,"1,600",3,6
46010084,Transplante Cutaneo Digital do Halux,,"1,300",2,5
46010092,Transplante Cutaneo Escapular,,"2,000",3,6
46010106,Transplante Cutaneo Femural,,"1,600",3,6
46010114,Transplante Cutaneo de Fossa Poplitea,,"1,600",3,6
46010122,Transplantes Cutaneos Intercostais,,"2,000",3,6
46010130,Transplante Cutaneo Inguino-Crural,,"2,000",3,6
46010149,Transplante Cutaneo -Interdigital Dedos do Pe,,"1,600",3,6
46010157,Transplantes Cutaneos Paraescapular,,"1,750",3,6
46010165,Transplantes Cutaneos Retroauricular,,"1,600",3,6
46010173,Transplantes Cutaneos Temporal,,"1,600",3,6
46010181,Outros Transplantes Cutaneos C/MicroAnastomose,,"1,300",2,5
46020012,Transplante Musculo Cutaneo Grande Dorsal,,"1,900",3,6
46020020,Transplantes Musculo Cutaneos Grande Gluteo,,"1,600",3,6
46020039,Transplantes Musculo Cutaneos Reto Abdominal,,"2,000",3,6
46020047,Transplantes Musculo Cutaneos Reto Interno,,"2,000",3,6
46020055,Transplantes Musculo Cutaneos Serrato Maior,,"2,000",3,6
46020063,Transplante Musculo Cutaneo Tensor Fascia Lata,,"2,000",3,6
46020071,Transplante Musculo Cutaneo Do Trapezio,,"1,600",3,6
46020080,Outros Transplantes Musculo-Cutaneos,,"1,600",3,6
46030018,Transplantes Musculares Biceps Femural,,"1,600",3,6
46030026,Transplantes Musculares Extensor Comum Dedos,,"1,300",2,6
46030034,Transplantes Musculares Extensor Proprio Halux,,"1,300",2,5
46030042,Transplantes Musculares Flexor Curto Plantar,,"1,600",3,6
46030050,Transplantes Musculares Grande Dorsal,,"2,000",3,6
46030069,Transplante Muscular Grande Peitoral,,"2,000",3,6
46030077,Transplante Muscular Musculo Pedio,,"1,300",2,5
46030085,Transplante Muscular Primeiro Radial Externo,,"1,300",2,5
46030093,Transplante Muscular Reto Interno (Gracilis),,"1,600",3,6
46030115,Transplante Muscular Supinador Longo,,"1,300",2,5
46030123,Transplante Muscular Sartorio (Sartorius),,"1,600",3,6
46030131,Transplante Muscular Semitendinoso,,"1,600",3,6
46030140,Transplante Muscular Semimembranoso,,"1,600",3,6
46030158,Transplante Muscular Serrato Maior (Serratus),,"2,000",3,6
46030166,Transplante Muscular Tensor da Fascia Lata,,"2,000",3,6
46030174,Outros Transplantes Musculares,,"1,300",2,5
46030182,Acrescimo de Microcirugia Transplante Muscular,,200,0,1
46040013,Transplante Osseo Costela,,"2,000",3,6
46040021,Transplante Osseo Iliaco,,"2,000",3,6
46040030,Transplante Osteocutaneo de Costela,,"2,000",3,6
46040048,Transplante Osteocutaneo de Iliaco,,"2,000",3,6
46040056,Transplante Osteomusculocutaneo de Costela,,"2,000",3,6
46040064,Transplante Peronio Ou Fibula,,"2,000",3,6
46040072,Outros Transplantes Osseos Osteomusculocutaneo,,"1,900",3,6
46050019,Reconstrucao do Esofago c/ Transpl. Intestino,,"1,500",3,7
46050027,Reconstrucao de Esofago Total C/Trans.Intestino,,"2,000",3,7
46050035,Reimplante de Segmentos Distais Membro Superior,,"2,000",3,7
46050043,Transplante de Epiplon,,"1,500",3,7
46050051,Transplante 2 Retalhos Cutaneos C/ Pediculo,,"2,000",3,7
46050060,Transplante 2 Retalhos CutaneoMusc. C/Pediculo,,"2,000",3,7
46050078,Transp 2 Retalhos Cutaneo/Osteo/Musc.C/Pediculo,,"2,200",3,7
46050086,Transp. 3 Retalhos Cutaneo/Musc. C/ Pediculo,,"2,400",3,7
46050094,Transpl 2 Retalhos Musculares C/ Pediculo,,"2,000",3,7
46050108,"Transplante de Outros Retalhos, C/ Pediculo",,"2,000",3,7
46060014,Enxerto Interfascicular Para Reparo de Um Nervo,,"1,300",2,5
46060022,Enxerto Interfascicular Reparo de 2 ou + Nervos,,"1,600",2,6
46060030,Enxerto Nervo Interfascicular Pediculado,,"1,450",2,6
46060049,Enxerto Nervo Interfascicular Pediculado 2 temp,,"1,450",2,6
46060057,Enxerto Interfascicular de Nervo Vascularizado,,"1,500",3,6
46060065,Excisao de Tumores de Nervos Perifericos,,850,2,4
46060073,Excisao Tumores Nervos Perifericos Com Enxerto,,"1,300",2,5
46060081,Microcirurgia do Plexo Braquial Com Exploracao,,"1,700",3,5
46060090,Microcirurgia do Plexo Braquial Com Exploracao,,"2,000",3,7
46060103,Microneurolise Unica,,700,2,3
46060111,Microneurolise de Dois Ou Mais Nervos,,900,2,4
46060120,Microneurolise Intraneural/Intrafasc. 1 Nervo,,800,2,4
46060138,Microneurolise Intraneural/Intraf. 2 ou+ Nervos,,"1,000",2,4
46060146,Microneurorrafia Unica,,"1,000",2,4
46060154,Microneurorrafia de Dois Ou Mais Nervos,,"1,200",2,5
46060162,Microneurorrafia Ao Nivel dos Dedos das Maos,,900,2,4
46070010,Reimplante do Polegar,,"2,000",3,6
46070028,Revascularizacao de Dedo da Mao,,"1,300",2,6
46070036,Revascularizado Dedo Adicional da Mao Acrescimo,,200,0,1
46070044,Reimplante de Dois Dedos da Mao,,"2,000",3,6
46070052,Reimplante de Dedo Adicional Acrescimo,,200,0,1
46070060,Reimplante Membro Superior Nivel Transmetacarpo,,"2,500",3,6
46070079,Reimplante Membro Superior Nivel Medio Distal,,"2,500",3,6
46070087,Reimplante Membro Inferior do Pe Ate 1/3 Medio,,"2,500",3,6
46070095,Reimplante Membro Inferior do Nivel Medio/Coxa,,"2,500",3,6
46080015,Transplante do Hallux Para O Polegar,,"2,000",3,6
46080023,Transplante do 2. Pododactilo Para O Polegar,,"2,000",3,6
46080031,Transplante do 2. Pododactilo Para Outro Dedo,,"2,000",3,6
46080040,Transplante de Dois Pododactilos Para A Mao,,"2,000",3,6
46080058,Transplante Articular Metatarsofalangica P/ Mao,,"1,800",3,6
46080066,Transplante Articular 2 Metatarsofalang. P/ Mao,,"1,800",3,6
46090010,Autotransplante de Um Testiculo,,"1,600",3,6
46090029,Autotransplante de Dois Testiculos,,"1,800",3,6
46090037,Recanalizacao dos Ductus Deferentes,,"1,500",3,6
46090045,Reimplante de Penis,,"1,500",3,6
46090053,Revascularizacao dos Corpos Cavernosos,,"1,300",2,6
47010010,Adenomastectomia Subcutanea Com Plastica,,"1,000",1,4
47010029,Abscesso Mama:Incisao e Drenagem,,200,0,1
47010037,Biopsia Incisional de Mama,,100,0,1
47010053,Ginecomastia-Plastica Mamaria Masculina -P/Mama,,400,1,2
47010088,Mama Extra Numeraria: Extirpacao,,350,1,1
47010096,Mastectomia Simples,,700,1,3
47010100,Mastectomia Radical,,"1,300",2,5
47010134,Puncao Biopsia de Mama,,80,0,0
47010142,Reconstrucao Mamaria C/ Retalho Miocutaneo,,"1,750",2,5
47010150,Resseccao Segmentar Da Mama,,300,1,1
47010169,Resseccao Segm.Da Mama Com Esvaziamento Axilar,,"1,000",2,4
47010177,Tumor E/Ou Adenoma de Mama: Extirpacao,,350,1,1
47010185,Reconstrucao Mamaria C/Protese,,"1,000",2,5
47010193,Colheita DE Material De Descarga Papilar,,50,0,3
47010207,Puncao De Cisto De Mama,,100,0,0
47010215,Excisao De Ductos Principais Da Mama,,800,1,3
47010223,Fistulectomia Da Mama,,800,1,3
47010231,Mastectomia C/ Reparacao De Perda Cutanea,,"1,750",2,5
47010240,Biopsia Percutanea Com RX/Ultra-Som,,100,0,2
47010258,Linfadenectomia Axilar,,"1,300",2,5
48010022,Autonomizacao de Retalho Da Mao,,120,1,1
48010030,Biopsia da Pele/Tumores Superficiais Da Mao,,60,0,0
48010049,Coto de Amputacao Digital: Revisao,,170,1,1
48010057,Coto de Amputacao Punho e Antebraco:Revisao,,270,1,1
48010065,Enxerto Livre de Pele Total Ou Parcial Da Mao,,250,1,2
48010073,Excisao+Enxerto Cutaneos Da Mao,,500,1,3
48010081,Preparo de Retalho p/ Extensos Ferimentos/Tumor,,700,2,3
48010090,Retalho Miocutaneo : Extensos Ferimentos/Tumor,,950,2,4
48010103,"Retalho Cutaneo p/ Extensos Ferimentos,Cicatriz",,550,1,3
48010111,Fasciotomias (Descompressivas),,500,1,3
48010120,Retracao Cicatricial da Axila - Trat.Cirurgico,,950,2,4
48010138,Retracao Cicatricial do Cotovelo: Cirugia,,700,1,3
48010146,Retracao Cicatricial do Punho - Cirurgia,,700,1,3
48010154,Retracao Cicatr. de 1 Dedo Sem Compromet.Tendao,,300,1,2
48010162,Retracao Cicatr.+ de 1 Dedo S/Compromet. Tendao,,550,1,2
48010170,Retracao Cicatr.de Dedos Com C/Compromet.Tendao,,550,1,3
48010189,Retracao de Aponevrose Palmar (Dupuytren),,700,1,3
48010197,Transplante Cutaneo Com Micro Anastomoses,,"1,750",3,6
48010200,Transplante Cutaneo Sem Micro Anastomose,,"1,000",2,4
48010219,Transplante Mio Cutaneo Com Micro Anastomose,,"1,900",3,6
48010227,Sutura Pequenos Ferimentos C/Ou S/ Debridamento,,100,0,0
48010235,Sutura Extensos Ferimentos C/Ou S/ Debridamento,,300,1,1
48010243,Abcesso Superficial Acima Do Punho,,50,0,0
48010251,Abcesso Na Mao,,450,0,3
48010260,Flegmoes E Tenossinovites Purulentas,,500,0,3
48010278,Fasciotomias Acima Do Punho,,500,0,3
48010286,Debridamento De Ferimento e Mordida de Animais,,500,0,2
48020010,Alongamento do Radio/Ulna,,"1,000",2,3
48020028,Artrodese Entre Os Ossos do Carpo,,550,1,3
48020036,Artrodese Radio-Carpica Ou do Punho,,550,1,3
48020044,Artroplastia de Punho Com Implante,,"1,300",2,5
48020052,Artroplastia Com Implante Na Mao (MF e IF)Unica,,600,1,3
48020060,Artroplastia C/Implante Na Mao (Mf/If) Multipla,,"1,000",1,4
48020079,Amputacao Trans Metacarpiana,,300,1,2
48020087,Amputacao TransMetacarpiano C/Transposicao Dedo,,800,1,4
48020095,Amputacao Digital (F1 A F3),,180,1,1
48020109,Artrose Inter Falangeana,,250,1,1
48020117,Artrodese M. Falangeana,,280,1,1
48020125,Agenesia de Radio (Centralizacao Ulna/Carpo),,"1,000",2,4
48020133,Capsulectomia Unica MF Ou IF,,250,1,1
48020141,Capsulectomias Multiplas MF Ou IF,,300,1,1
48020150,Encurtamento Radio/Ulna,,600,2,2
48020168,Fratura-Luxacao Inter-Falangeana: Cirurgia,,450,1,2
48020176,Fratura de Osso do Carpo: Reducao Cirurgica,,350,1,2
48020184,Fraturas Falanges/Metacarpianos: Nao Cirurgico,,150,0,0
48020192,Fraturas Falanges/Metacarpianos: Cirurgia,,250,1,1
48020206,Fratura do Carpo: Tratamento Conservador,,250,1,0
48020214,Fratura do Carpo: Reducao Incruenta,,300,1,1
48020222,Fratura de Falange:Tratamento Conservador,,100,0,0
48020249,Lesoes Ligamentares Cronicas da Mao: Cirurgia,,400,1,2
48020257,Lesoes Ligamentares Agudas da Mao: Cirurgia,,250,1,1
48020265,Luxacao do Carpo: Reducao Nao Cirurgica,,200,1,1
48020273,Luxacao de Falange Ou Metacarpiano: Cirurgia,,200,1,1
48020281,Fratura do Metacarpiano: Tratamento Conservador,,120,0,0
48020290,Pseudoartrose C/Perda Subst.Metacarpofalangeana,,700,2,3
48020303,Pseudoartrose de Escafoide: Cirurgia,,500,1,3
48020311,Protese (Implante) Para Ossos do Carpo,,900,2,3
48020320,Reparacao Ligamentar do Carpo,,700,1,3
48020338,Resseccao 1A. Fileira dos Ossos do Carpo,,350,1,1
